"slug","name","url","description","language","topics","stars","created_at","updated_at","archived","has_readme"
"brousse-en-folie-network","brousse-en-folie-network","https://github.com/adriens/brousse-en-folie-network","Découverte du réseau social de la Brousse en Folie","","gephi, datanalysis, neo4j, storytelling","0","2017-12-22","2022-06-18","False","True"
"chocolatey-vendir","chocolatey-vendir","https://github.com/adriens/chocolatey-vendir","Chocolatey package for Carvel vendir","PowerShell","","1","2020-11-21","2022-03-05","False","True"
"appli-noumea-plages","appli-noumea-plages","https://github.com/adriens/appli-noumea-plages","Mobile Flutter app for Noumea Water Quality of the Beaches","Dart","quality, water, flutter, beach, noumea, newcaledonia, cagougeeks, opendata, smartcity, mobileapp","0","2020-02-01","2022-01-28","False","True"
"chocolatey-kbld","chocolatey-kbld","https://github.com/adriens/chocolatey-kbld","Chocolatey package for Carvel kbld","PowerShell","","1","2020-11-21","2022-01-11","False","True"
"covid19-action-plan-nc","covid19-action-plan-nc","https://github.com/adriens/covid19-action-plan-nc","Projet de gestion de mes tâches liées aux actions autour de la crise saniatire du COVD-19 en Nouvelle-Calédonie","","nouvelle-caledonie, noumea, coronavirus, covid, powerbi, dashboard","2","2020-03-22","2022-01-10","False","True"
"chocolatey-kapp","chocolatey-kapp","https://github.com/adriens/chocolatey-kapp","Chocolatey package for Carvel kapp utility","PowerShell","","1","2020-11-20","2021-12-07","False","True"
"chocolatey-ytt","chocolatey-ytt","https://github.com/adriens/chocolatey-ytt","Chocolatey package source code for ytt","PowerShell","k8s, yaml, yml, templates, templating, configuration, lint, testing, kubernetes, chocolatey","1","2020-11-14","2021-11-20","False","True"
"chocolatey-imgpkg","chocolatey-imgpkg","https://github.com/adriens/chocolatey-imgpkg","Chocolatey package for Carvel imgpkg","PowerShell","","1","2020-11-25","2021-11-17","False","True"
"chocolatey-jib","chocolatey-jib","https://github.com/adriens/chocolatey-jib","Chocolatey package for Jib CLI","","","0","2021-04-04","2021-11-14","False","True"
"chocolatey-zoe","chocolatey-zoe","https://github.com/adriens/chocolatey-zoe","Chocolatey package for Zoe (the Kafka cli)","","","0","2021-07-17","2021-11-05","False","True"
"jcollatz","JCollatz","https://github.com/adriens/JCollatz","","Java","","2","2021-09-06","2021-10-03","False","True"
"truncatable-primes","truncatable-primes","https://github.com/adriens/truncatable-primes","A proto around Truncatable primes","Java","","0","2021-09-18","2021-10-02","False","True"
"excuses-api","excuses-api","https://github.com/adriens/excuses-api","Enfin une API pour de bonnes excuses","Java","","0","2021-09-25","2021-09-25","False","True"
"excuses-sdk","excuses-sdk","https://github.com/adriens/excuses-sdk","Enfin un SDK pour des excuses !","Java","","0","2021-09-20","2021-09-25","False","True"
"cult-movies","cult-movies","https://github.com/adriens/cult-movies","A data storytelling about cult movies","","","0","2021-09-20","2021-09-21","False","True"
"tour2caledonie","tour2caledonie","https://github.com/adriens/tour2caledonie","Tour de calédonie","","","0","2021-09-08","2021-09-08","False","True"
"super-idee","super-idee","https://github.com/adriens/super-idee","Une idée de super projet encore brouillon","","","0","2021-08-16","2021-08-16","False","True"
"eaux-baignade-noumea","eaux-baignade-noumea","https://github.com/adriens/eaux-baignade-noumea","API pour accéder à la qualité des eaux de baignade, via le crawling de www.noumea.nc","Java","noumea, plages, eaux, baignade, qualitelis","0","2018-03-28","2021-08-15","False","True"
"katacoda-scenarios","katacoda-scenarios","https://github.com/adriens/katacoda-scenarios","Katacoda Scenarios","","","0","2020-08-19","2021-08-11","False","True"
"ridetnc-api","ridetnc-api","https://github.com/adriens/ridetnc-api","","Java","","0","2021-08-07","2021-08-09","False","True"
"ridetnc4j","ridetnc4j","https://github.com/adriens/ridetnc4j","Java SDK wrapper to interact with ""Entreprises actives au Ridet""","Java","","0","2021-08-07","2021-08-07","False","True"
"colisnc-sdk","colisnc-sdk","https://github.com/adriens/colisnc-sdk","SDK pour les colis en Nouvelle-calédonie","Java","","1","2019-09-09","2021-08-04","False","True"
"katacoda-glia-labs","katacoda-glia-labs","https://github.com/adriens/katacoda-glia-labs","","Shell","devops, katacoda","0","2021-02-06","2021-07-31","False","True"
"colisnc-discord","colisnc-discord","https://github.com/adriens/colisnc-discord","","Java","","0","2021-03-03","2021-06-10","False","True"
"tablesaw-code-snippets","tablesaw-code-snippets","https://github.com/adriens/tablesaw-code-snippets","Code snippets around jtablesaw lib","","","0","2017-10-25","2021-04-25","False","True"
"mailbox_notifier","MAILBOX_notifier","https://github.com/adriens/MAILBOX_notifier","Arduino Based mailbox notifier","C++","","3","2019-05-07","2021-04-24","False","True"
"katacoda-devops-labs-elasticsearch-reindex","katacoda-devops-labs-elasticsearch-reindex","https://github.com/adriens/katacoda-devops-labs-elasticsearch-reindex","Set of files used for ","Shell","","0","2021-04-09","2021-04-11","False","True"
"chocolatey-gomplate","chocolatey-gomplate","https://github.com/adriens/chocolatey-gomplate","Chocolatey package for gomplate","PowerShell","","1","2021-03-22","2021-04-05","False","True"
"json_hall_of_shame","json_hall_of_shame","https://github.com/adriens/json_hall_of_shame","A collection of awfully formated json files","","","0","2021-03-24","2021-04-01","False","True"
"chocolatey-olive","chocolatey-olive","https://github.com/adriens/chocolatey-olive","Chococlatey package for Olive video editor","PowerShell","","0","2021-03-30","2021-03-30","False","True"
"postgresql-open-data","postgresql-open-data","https://github.com/adriens/postgresql-open-data","","","","0","2021-03-03","2021-03-26","False","True"
"it-events-sdk","it-events-sdk","https://github.com/adriens/it-events-sdk","Compute easily IT events from Java","","","0","2021-02-08","2021-02-08","False","True"
"presentation-stage-gbertherat","presentation-stage-gbertherat","https://github.com/adriens/presentation-stage-gbertherat","Slideshow de fin de stage de Guillaume dédié au Machine Learning et APIs","JavaScript","","0","2020-11-11","2021-01-04","False","True"
"colisnc-borne","colisnc-borne","https://github.com/adriens/colisnc-borne","","TypeScript","","1","2020-11-26","2020-12-21","False","True"
"tuto-postgres-partition","tuto-postgres-partition","https://github.com/adriens/tuto-postgres-partition","Tuto pour le partitionnement sous psql","","","0","2020-12-20","2020-12-20","False","True"
"person-counter-api","person-counter-api","https://github.com/adriens/person-counter-api","Une API qui via DJL (Deep Java Library) renvoie le nombre d'entités détectées sur une photo","Java","","1","2020-11-03","2020-12-18","False","True"
"glia-logo-unity","glia-logo-unity","https://github.com/adriens/glia-logo-unity","Une animation Unity pour la carte de visite du bureau","C#","","0","2020-12-16","2020-12-17","False","True"
"opt-temps-attente-agences-sdk","opt-temps-attente-agences-sdk","https://github.com/adriens/opt-temps-attente-agences-sdk","SDK Java des temps d'attente en agence OPT.nc","Java","","0","2020-03-09","2020-12-09","False","True"
"chocolatey-kapp-controller","chocolatey-kapp-controller","https://github.com/adriens/chocolatey-kapp-controller","Chocolatey package for carvel-kapp-controller","","ytt, kapp, helm, declarative, operator, k8s, kubernetes, gitops, continuous-delivery, cd, controllers, carvel","0","2020-11-27","2020-11-27","False","False"
"colisnc-webapp","colisnc-webapp","https://github.com/adriens/colisnc-webapp","appli-colis","Java","","0","2020-02-10","2020-11-22","False","True"
"colisnc-katacoda","colisnc-katacoda","https://github.com/adriens/colisnc-katacoda","Katacoda tutorial on how deploy the API on a K8S cluster","","","0","2020-10-25","2020-10-25","False","True"
"colis-nc-app","colis-nc-app","https://github.com/adriens/colis-nc-app","Prototype Appli mobile pour les colis en Nouvelle-Calédonie","","","0","2020-10-24","2020-10-24","False","True"
"schemacrawler-additional-command-lints-as-csv","schemacrawler-additional-command-lints-as-csv","https://github.com/adriens/schemacrawler-additional-command-lints-as-csv","An additional command for schemacrawler to dump lints as csv files and produce analytics","Java","csv, elasticsearch, kibana, database, lint, dashoard, logstash, schemacrawler","2","2018-09-22","2020-10-12","False","True"
"kalolo-2-0","kalolo-2.0","https://github.com/adriens/kalolo-2.0","","Java","","0","2020-08-24","2020-09-23","False","True"
"flutter-signal-strength","flutter-signal-strength","https://github.com/adriens/flutter-signal-strength","","Kotlin","","0","2020-08-26","2020-09-23","False","True"
"carte-conso-plus-sdk","carte-conso-plus-sdk","https://github.com/adriens/carte-conso-plus-sdk","SDK java pour interagir avec le site (http://www.consoplus.nc/) de la Carte Conso + (Nouvelle-Calédonie)","Java","","0","2018-03-17","2020-08-17","False","True"
"carte-conso-plus-api","carte-conso-plus-api","https://github.com/adriens/carte-conso-plus-api","API pour interagir avec le site (http://www.consoplus.nc/) de la Carte Conso + (Nouvelle-Calédonie)","Java","","0","2018-03-17","2020-08-17","False","True"
"makecodeoptgame","MakeCodeOPTGame","https://github.com/adriens/MakeCodeOPTGame","First ever MakeCode Game","TypeScript","","0","2020-08-15","2020-08-15","False","True"
"kalolo-api","kalolo-api","https://github.com/adriens/kalolo-api","API de gestion des expressions caldoches à nous les mecs du caillou","Java","","0","2020-06-15","2020-08-10","False","True"
"emploi-nc-api","emploi-nc-api","https://github.com/adriens/emploi-nc-api","API Offres d'emploi de Nouvelle-Calédonie","Java","","0","2020-03-12","2020-07-28","False","True"
"emploi-nc-website","emploi-nc-website","https://github.com/adriens/emploi-nc-website","Site web de emploi-nc","JavaScript","","0","2020-03-20","2020-07-23","False","True"
"emploi-nc-sdk","emploi-nc-sdk","https://github.com/adriens/emploi-nc-sdk","SDK Java de l'emploi en Nouvelle-Calédonie","Java","","0","2020-03-11","2020-07-17","False","True"
"colisnc-ar","colisnc-AR","https://github.com/adriens/colisnc-AR","colisnc-AR","Java","","0","2020-02-27","2020-06-25","False","True"
"glia-tasks","GLIA-tasks","https://github.com/adriens/GLIA-tasks","Gestion de très haut niveau des tâches du bureau","","","0","2020-03-23","2020-03-24","False","True"
"cine-city-noumea-sdk","cine-city-noumea-sdk","https://github.com/adriens/cine-city-noumea-sdk","SDK java pour interagir avec le site (http://www.cinecity.nc) du CineCity (Nouméa, NC).","Java","cinecity, nc, noumea, sdk, films, nouvelle-caledonie","0","2018-03-02","2020-03-09","False","True"
"tickets-resto-nc-sdk","tickets-resto-nc-sdk","https://github.com/adriens/tickets-resto-nc-sdk","Implémentation Java de l'API de https://www.neocarte.nc","Java","tickets, restaurant, nouvelle-caledonie, api, sdk, java, nc, htmlunit","1","2017-04-30","2020-02-05","False","True"
"beachcagoubot","BeachCagouBot","https://github.com/adriens/BeachCagouBot","Bot twitter pour les eaux de baignades de Nouméa","Java","","0","2019-02-25","2019-12-31","False","True"
"noumea-smartcity-api","noumea-smartcity-api","https://github.com/adriens/noumea-smartcity-api","Hub d'APIs REST pour la ville de Nouméa ","Java","","0","2019-03-21","2019-10-11","False","True"
"scalair4j","scalair4J","https://github.com/adriens/scalair4J","SDK Java pour Scal-Air","Java","","0","2019-03-03","2019-10-11","False","True"
"presentation-ci-docker","presentation-ci-docker","https://github.com/adriens/presentation-ci-docker","Présentation sur faire de la CI avec Docket, Jib et Circle CI","JavaScript","","0","2019-05-20","2019-09-30","False","True"
"ideas4opt","ideas4opt","https://github.com/adriens/ideas4opt","ideas4opt","","","0","2019-05-21","2019-05-21","False","False"
"dicker-ci-demo","dicker-ci-demo","https://github.com/adriens/dicker-ci-demo","Testing with docker images on Circle CI","","","0","2019-05-15","2019-05-17","False","True"
"rfc4180validator","RFC4180Validator","https://github.com/adriens/RFC4180Validator","POC in progress","Java","","0","2019-05-06","2019-05-16","False","True"
"csv-tester","csv-tester","https://github.com/adriens/csv-tester","A maven project prototype to test csv testing as part of the build","Java","","0","2018-07-29","2019-05-02","False","True"
"chocolatey-netbeans-11","chocolatey-netbeans-11","https://github.com/adriens/chocolatey-netbeans-11","Chocolatey package to install Netbeans 11","PowerShell","netbeans-11, chocolatey-packages, windows","0","2019-04-16","2019-04-21","False","True"
"plages-noumea","plages-noumea","https://github.com/adriens/plages-noumea","Un site web dédié à faire des cadres photos intelligents dédié à la qualité des eaux des plages de Nouméa","JavaScript","","0","2019-03-02","2019-03-03","False","True"
"stls","STLS","https://github.com/adriens/STLS","Dedicated to my stl collection","","","0","2018-12-07","2019-03-03","False","True"
"analyze-macron-debat-national-2019","analyze-macron-debat-national-2019","https://github.com/adriens/analyze-macron-debat-national-2019","Analyze ""Emmanuel Macron's letter to his people""","Java","","0","2019-01-18","2019-01-20","False","True"
"macron-debat-national-2019","macron-debat-national-2019","https://github.com/adriens/macron-debat-national-2019","Données et stats concernant le grand débat national de 2019","","","0","2019-01-15","2019-01-15","False","True"
"schemaspy","schemaspy","https://github.com/adriens/schemaspy","mavenized version of schemaspy","Java","","0","2014-09-01","2018-12-12","False","True"
"arduino-led-snake","arduino-led-snake","https://github.com/adriens/arduino-led-snake","","C++","","0","2018-12-07","2018-12-09","False","True"
"arduinos-tps","arduinos-tps","https://github.com/adriens/arduinos-tps","TPs arduino","C++","","0","2018-12-05","2018-12-05","False","True"
"referendum-2018","referendum-2018","https://github.com/adriens/referendum-2018","","","","0","2018-11-11","2018-11-15","False","True"
"information-schema-from-apoc","information-schema-from-apoc","https://github.com/adriens/information-schema-from-apoc","Some scripts to load INFORMATION_SCHEMA database structures from jdbc APOC procedures","","neo4j, apoc, postgresql","0","2018-08-22","2018-08-23","False","True"
"graph-fromages","graph-fromages","https://github.com/adriens/graph-fromages","Génération du graphe des fromages","JavaScript","","0","2018-07-03","2018-07-03","False","True"
"poc-dependabot-dashboard","poc-dependabot-dashboard","https://github.com/adriens/poc-dependabot-dashboard","","","","0","2018-05-29","2018-05-29","False","False"
"reorg-graph","reorg-graph","https://github.com/adriens/reorg-graph","Some test around organization and graphs","R","","0","2017-10-22","2018-05-20","False","True"
"r-blood-rhesus","R-blood-rhesus","https://github.com/adriens/R-blood-rhesus","A Rmarkdown report on blood rhesus","HTML","","0","2017-09-30","2018-05-15","False","True"
"my-cloud-connections","my-cloud-connections","https://github.com/adriens/my-cloud-connections","Datas about my cloud connections","","","1","2017-10-30","2018-04-30","False","True"
"presentation-lean-startup","presentation-lean-startup","https://github.com/adriens/presentation-lean-startup","Petite présentation d'un projet en mode WE","JavaScript","","0","2018-03-15","2018-04-11","False","True"
"mon-1012-nc","mon-1012.nc","https://github.com/adriens/mon-1012.nc","API REST sur 1012.nc","Java","","0","2018-04-03","2018-04-04","False","True"
"chocolatey-api","chocolatey-api","https://github.com/adriens/chocolatey-api","API to get chocolatey packages details in REST/json","Java","chocolatey, packages, rest, api","0","2018-03-20","2018-03-23","False","True"
"chocolatey-sdk","chocolatey-sdk","https://github.com/adriens/chocolatey-sdk","Java SDK to interact with chocolatey website","Java","chocolatey, java, sdk, webcrawler","0","2018-03-20","2018-03-23","False","True"
"slack-marketplace","slack-marketplace","https://github.com/adriens/slack-marketplace","Slack marketplace network","","","0","2017-11-30","2017-11-30","False","True"
"presentation-jenkins-vagrant","presentation-jenkins-vagrant","https://github.com/adriens/presentation-jenkins-vagrant","Slideshow that presents a devops approach on vagrant/jenins and introduces the benefits of a docker approach","CSS","","0","2017-10-31","2017-11-02","False","True"
"gexf-samples","gexf-samples","https://github.com/adriens/gexf-samples","Gexf data samples : a set of samples","","","0","2017-09-22","2017-09-22","False","True"
"neo4j-cuisine-nicoise","neo4j-cuisine-nicoise","https://github.com/adriens/neo4j-cuisine-nicoise","Graphe neo4j des recettes et ingrédients de la cuisine niçoise","","neo4j, recipes, cypher, recettes, cuisine, graph","0","2017-09-12","2017-09-13","False","True"
"exiftest","ExifTest","https://github.com/adriens/ExifTest","Dummy code samples around Exif and QrCode","Java","exif, qrcode, longitude, latitude, multipart, mail","0","2017-07-20","2017-07-21","False","True"
"oracle-jutils","oracle-jutils","https://github.com/adriens/oracle-jutils","Set of PL/SQL utility packages","","","0","2017-07-16","2017-07-16","False","True"
"cups4j","cups4j","https://github.com/adriens/cups4j","Pure Java CUPS implementation","Java","","0","2016-12-19","2016-12-20","False","True"
"files2neo4j","files2neo4j","https://github.com/adriens/files2neo4j","Dummy tool to generate a neo4j graph database from a a directory","Java","","0","2016-08-23","2016-08-23","False","True"
"schemacrawler-izpack","schemacrawler-izpack","https://github.com/adriens/schemacrawler-izpack","Izpack installer for schemacrawler. Primary target is Windows.","HTML","","0","2014-11-10","2016-04-15","False","True"
"schemacrawler-report-maven-plugin","SchemaCrawler-Report-Maven-Plugin","https://github.com/adriens/SchemaCrawler-Report-Maven-Plugin","","Java","","0","2016-02-10","2016-02-10","False","True"
