"slug","title","url","published_at","lang","summary"
"2021-12-20-is-mapping-graph","Delivering Information System mapping. As a Graph.","https://www.linkedin.com/pulse/delivering-information-system-mapping-graph-adrien-sales/","2021-12-20","en","Approach using Neo4j to create visual, queryable maps of complex information systems treated as social networks. Enables answering critical operational questions without manual maintenance or expensive tooling."
"2020-12-17-meeting-rooms-ml","Optimize Meeting rooms and workspaces usage thanks to KPIs & analytics produced with Machine Learning","https://www.linkedin.com/pulse/optimize-meeting-rooms-workspaces-usage-thanks-kpis-analytics-sales/","2020-12-17","en","Machine learning solution for tracking workspace occupancy using computer vision and AWS Deep Java Library. Feeds real-time KPIs and heatmap visualizations to an ELK Stack dashboard."
"2020-12-03-creative-blocks-microgames","Creative with Blocks: Draw, Compose, Share Ideas by Packaging Them Microgames","https://www.linkedin.com/pulse/creative-blocks-draw-compose-share-ideas-packaging-them-adrien-sales/","2020-12-03","en","Explores packaging ideas as interactive microgames rather than traditional presentations, using Microsoft MakeCode, Bitsy and itch.io. Montre comment des non-développeurs peuvent créer et partager des jeux pour communiquer des concepts."
"2020-10-30-katacoda-digital-learning","Design digital learning scenarios as live experiences thanks to Katacoda... and why it's a big deal.","https://www.linkedin.com/pulse/design-digital-learning-scenarios-live-experiences-thanks-sales/","2020-10-30","en","Explores how Katacoda enables 'learn by doing' directly in the browser without local setup. Demonstrates deploying APIs on Kubernetes as a live scenario."
"2020-08-20-music-ops-sonic-pi","Music OPS: put sync music in the Pipeline with ambient generative music","https://www.linkedin.com/pulse/music-ops-put-sync-pipeline-ambient-generative-adrien-sales/","2020-08-20","en","Applies DevOps principles to music creation by coding a generative soundtrack with Sonic Pi, inspired by Brian Eno and John Carpenter. Demonstrates versioning, pipeline and delivery of source-code-as-music."
"2020-08-07-terminal-kanak-slang","Hacking your terminal with Regional Slang and Expressions from New-Caledonia","https://www.linkedin.com/pulse/hacking-your-terminal-regional-slang-expressions-from-adrien-sales/","2020-08-07","en","Demonstrates integrating New-Caledonian regional expressions into Linux terminal commands via the Kalolo-API and cowsay/boxes/toilet. Cultural hacking of the developer environment."
"2020-07-02-conso-plus-ux-open-innovation","Design d'une expérience utilisateur autour d'une carte de fidélité grâce à l'Open Innovation","https://www.linkedin.com/pulse/design-dune-exp%C3%A9rience-utilisateur-autour-carte-de-fid%C3%A9lit%C3%A9-sales/","2020-07-02","fr","Projet de refonte de l'application mobile Conso+ en Nouvelle-Calédonie avec une approche d'innovation ouverte. L'application Flutter consolide gestion de fidélité, solde, promotions et paiement mobile."
"2020-04-19-open-innovation-covid-platform","Creating platform driven solutions. A full and operational Open Innovation product inception & release story.","https://www.linkedin.com/pulse/creating-platform-driven-solutions-full-operational-open-adrien-sales/","2020-04-19","en","Describes building a job-seeking platform for New Caledonia during COVID-19 using public government data, with Java SDK, Spring Boot API, Flutter app and promo site. Built remotely by students in a lean, cloud-native approach."
"2020-04-13-touchless-soap-dispenser","Prepare the road to deconfinement with adapted devices: the Universal Contactless soap dispenser","https://www.linkedin.com/pulse/prepare-road-deconfinement-adapted-devices-universal-soap-sales/","2020-04-13","en","Prototype de distributeur de savon sans contact basé sur Arduino, adaptable à n'importe quelle bouteille existante. Intègre un monitoring cloud pour la gestion des stocks en entreprise."
"2020-04-06-wfh-kids-pomodoro-leds","Work@Home with Kids: Pomodoro, LEDs, and code blocks to the rescue","https://www.linkedin.com/pulse/workhome-kids-pomodoro-leds-code-blocks-rescue-adrien-sales/","2020-04-06","en","Creative solution combining Pomodoro technique with LED feedback via Adafruit Circuit Playground Express to help children learn programming. Signals availability to reduce interruptions during focused work intervals."
"2020-03-27-smart-city-generative-art","Reveal your Smart City's beauty with API based generative Art","https://www.linkedin.com/pulse/reveal-your-smart-citys-beauty-api-based-generative-art-adrien-sales/","2020-03-27","en","Exploration de l'art génératif en transformant les données publiques sur la qualité de l'eau des plages de Nouméa via Processing et p5.js. Rend les données environnementales accessibles et visuellement engageantes."
"2020-03-19-monozukuri-flutter-clock","Spread Monozukuri culture at your workplace. Relax and let the code do the show.","https://www.linkedin.com/pulse/spread-monozukuri-culture-your-workplace-relax-let-code-adrien-sales/","2020-03-19","en","Describes deploying Flutter clock designs in the open space to foster mindful time awareness during standups. Explores how beautiful objects inspire innovation and transform waiting into contemplative moments."
"2020-03-05-product-mascot-community","Release a product to get customers. Create a mascot... and get fans.","https://www.linkedin.com/pulse/release-product-get-customers-create-mascot-fans-adrien-sales/","2020-03-05","en","Building community around a product by creating a mascot collaboratively with a design-talented intern. Transformed customers into fans who spontaneously created fan art, 3D models and merchandise."
"2020-02-02-open-data-smart-city-apis","Open Data & public APIs: founding together the collaborative & Open Sourced Smart City","https://www.linkedin.com/pulse/open-data-public-apis-founding-together-collaborative-adrien-sales/","2020-02-02","en","Vision of community-driven smart cities where public APIs and open data serve as foundational infrastructure. Demonstrated through an open-source mobile app on Nouméa beach water quality data."
"2020-01-21-open-data-commercial-powerbi","Open Data, données commerciales & expérience utilisateur. Cas concret avec Ma Liste Cadeau.NC et PowerBI.","https://www.linkedin.com/pulse/open-data-donn%C3%A9es-commerciales-exp%C3%A9rience-utilisateur-adrien-sales/","2020-01-21","fr","Transforme un catalogue de chèques cadeaux statique en dashboard PowerBI interactif. Illustre la valeur stratégique de la publication des données commerciales en open data."
"2019-12-05-netflix-powerbi-power-automate","So I can download my Netflix activity as a csv... so what ?","https://www.linkedin.com/pulse/so-i-can-download-my-netflix-activity-csv-what-adrien-sales/","2019-12-05","en","Analyse de l'historique de visionnage Netflix (CSV) via Power Automate pour le traitement, IMDbPY pour l'enrichissement en genres, et Power BI pour les visualisations. Illustre la valeur des données personnelles et l'enjeu du RGPD."
"2019-11-07-netflix-mit-media-lab","How did Netflix put my heart & brain on fire ? Abstract art, design and innovation at MIT Media Lab","https://www.linkedin.com/pulse/how-did-netflix-put-my-heart-brain-fire-abstract-art-design-sales/","2019-11-07","en","Réflexion sur la créativité et le design inspirée du MIT Media Lab, à partir d'un documentaire Netflix sur l'art abstrait. Explore comment les principes du jeu peuvent nourrir l'innovation en entreprise."
"2019-10-10-process-automation-ms-flow","My boss asked me to manage a process. Then I decided NOT to do it... myself","https://www.linkedin.com/pulse/my-boss-asked-me-manage-process-i-decided-do-myself-adrien-sales/","2019-10-10","en","Automatise la gestion du planning de viennoiseries pour les réunions d'équipe via Microsoft Flow (Power Automate). Démontre comment l'automatisation élimine les tâches administratives répétitives."
"2019-09-26-nc-open-data-ms-flow","First New-Caledonia exploratory dive into Open Data platforms thanks to MS Flow, Data.gouv.fr and OpenDataSoft","https://www.linkedin.com/pulse/first-new-caledonia-exploratory-dive-open-data-platforms-adrien-sales/","2019-09-26","en","Documents creating New Caledonia's first open air quality dataset by automating data collection with Microsoft Flow into Excel and publishing via Data.gouv.fr and OpenDataSoft. Sans infrastructure, API-accessible."
"2019-09-20-data-storytelling-supermarket","Data Story Telling at the supermarket : how a tiny dataset can help save money or the planet","https://www.linkedin.com/pulse/data-story-telling-supermarket-how-tiny-dataset-can-help-adrien-sales/","2019-09-20","en","Price analysis revealing that larger Vegemite jars cost significantly more per gram than smaller ones, challenging bulk-buying assumptions. Reveals a pricing strategy that penalizes environmentally-conscious consumers."
"2019-09-14-diginova-serious-game","Armageddon, collaboration et technologie à #diginova","https://www.linkedin.com/pulse/armageddon-collaboration-et-technologie-%C3%A0-diginova-adrien-sales/","2019-09-14","fr","Retour d'expérience sur Diginova 2019 à l'UNC : serious game de restauration d'infrastructures (énergie, télécoms) avec coding en blocs sur Adafruit Circuit Playground. Mélange technologie, collaboration et pédagogie."
"2019-09-11-coffeeops-iot","CoffeeOps is the new DevOps","https://www.linkedin.com/pulse/coffeeops-new-devops-adrien-sales/","2019-09-11","en","Transforms manual coffee supply tracking into an IoT project with an arcade-style button ('CoffeeCade') generating live dashboards. Demonstrates how playful problem-solving builds cross-functional technical skills."
"2019-08-29-api-monetization-rapidapi","Everything You Always Wanted to know About API Monetization* (*But Were Afraid to Ask)","https://www.linkedin.com/pulse/everything-you-always-wanted-know-api-monetization-were-adrien-sales/","2019-08-29","en","Explores how to monetize APIs through RapidAPI: documentation, pricing strategies, analytics, customer support. Argues that cloud API delivery offers stronger revenue potential than SDK-based approaches."
"2019-08-15-open-data-ms-flow-powerbi","Hacking Open Data by consuming REST data services thanks to Microsoft Flow & Power BI","https://www.linkedin.com/pulse/hacking-open-data-consuming-rest-services-thanks-microsoft-sales/","2019-08-15","en","No-code approach using Microsoft Flow to fetch daily water quality data from a REST API and store it in Excel, then visualized via Power BI. Analyse des conditions côtières des plages calédoniennes sans une ligne de code."
"2019-08-03-coffee-machine-3d-print","Don't get a babyfoot: turn your coffee machine into a product design thinking reactor thanks to hacking","https://www.linkedin.com/pulse/dont-get-babyfoot-turn-your-coffee-machine-product-design-sales/","2019-08-03","en","Creative engineering project designing 3D-printed components to increase coffee machine bean capacity. Argues that culture hacking through daily experimentation drives innovation more effectively than passive amenities."
"2019-07-06-ci-docker-jib-circleci","Release faster & safer: break monolithic CI into fluid micro jobs with Docker thanks to Jib and CircleCI","https://www.linkedin.com/pulse/release-faster-safer-break-monolithic-ci-fluid-micro-jobs-sales/","2019-07-06","en","Demonstrates decomposing monolithic CI pipelines into modular, reusable Docker containers using Google Jib and CircleCI. Enables sharing testing microservices across projects, reducing regression risks."
"2019-06-09-debunk-mvp-myth","Debunk MVP myth: to build cars, design cars from the very beginning. Not skateboards.","https://www.linkedin.com/pulse/debunk-mvp-myth-build-cars-design-from-very-begining-adrien-sales/","2019-06-09","en","Challenges the skateboard-to-car MVP metaphor: argues you must design the car from the start. Illustrated with a CAD-designed 3D-printed magnetic post-it holder where each iteration provides usable value."
"2019-05-25-cnil-data-breaches-powerbi","CNIL & Open Data: les notifications de violations de données à caractère personnel","https://www.linkedin.com/pulse/cnil-open-data-les-notifications-de-violations-donn%C3%A9es-adrien-sales/","2019-05-25","fr","Analyse des données CNIL sur les violations de données personnelles via Power BI. Révèle que le secteur santé est le plus touché en volume, tandis que les garages automobiles déposent le plus de notifications."
"2019-05-05-smart-mailbox-arduino","Making legacy mailboxes smarter with Arduino IoT Cloud platform and IFTTT","https://www.linkedin.com/pulse/making-legacy-mailboxes-smarter-arduino-iot-cloud-platform-sales/","2019-05-05","en","IoT prototype detecting mail delivery via ultrasonic sensor connected to Arduino MKR1000, notifying via SMS on arrival. Leverages Arduino IoT Cloud and IFTTT webhooks."
"2019-04-03-fablabs-powerbi","Fablabs data story telling : how many, where and what ?","https://www.linkedin.com/pulse/fablabs-data-story-telling-how-many-where-what-adrien-sales/","2019-04-03","en","Uses Fablabs.io API to build a Power BI dashboard on the global distribution and capabilities of makerspaces. Reveals USA and France lead in FabLab concentration."
"2019-03-28-air-eau-anse-vata","Air & Eau : la convergence des éléments via les indicateurs... à l'Anse Vata, le spot mythique de Windsurf.","https://www.linkedin.com/pulse/air-eau-la-convergence-des-%C3%A9l%C3%A9ments-via-les-%C3%A0-lanse-vata-adrien-sales/","2019-03-28","fr","Initiative d'agrégation des données air et eau pour l'Anse Vata de Nouméa via APIs et dashboards. Combine qualité de l'eau municipale et qualité de l'air Scal-Air en une seule expérience."
"2019-03-12-conso-plus-mobile-kotlin","Carte Conso Plus : l'appli mobile !","https://www.linkedin.com/pulse/carte-conso-plus-lappli-mobile-adrien-sales/","2019-03-12","fr","Application mobile Android en Kotlin pour consulter le solde et localiser les marchands partenaires de la carte Conso Plus. MVP lean développé pour combler l'absence d'accès mobile à cette information financière."
"2019-03-06-smartcity-ar-water-quality","Building Smartcities: How I Started from Scratch with a Website and Ended by Creating an AR Experience","https://www.linkedin.com/pulse/building-smartcities-how-i-started-from-scratch-website-adrien-sales/","2019-03-06","en","Chronicles a year-long journey from a REST API on water quality data to an AR experience with HP Reveal. Progressive enrichment: SVG badges, Twitter bot, then AR overlaying live beach indicators."
"2019-02-26-twitter-bot-water-quality","Let Twitter BOTs tell you when you can (or not) go to swim","https://www.linkedin.com/pulse/let-twitter-bots-tell-you-when-can-go-swim-adrien-sales/","2019-02-26","en","Twitter bot monitoring beach water quality and posting status updates every 4 hours via CircleCI cron jobs. Only tweets on status change, analogous to SaaS status pages."
"2019-01-19-nlp-sentiment-macron-azure","Cognitive services : Natural Language Processing & AI for sentiment analysis on Emmanuel Macron's letter to his people","https://www.linkedin.com/pulse/cognitive-services-natural-language-processing-ai-sentiment-sales/","2019-01-19","en","Sentiment analysis of Macron's Grand Débat letter with Apache OpenNLP + Microsoft Azure Text Analytics (score par phrase). Enrichissement PostgreSQL et visualisation Orange — la lettre est positive à 67%."
"2019-02-21-dashbutton-sigfox-arduino-trello","First DIY IoT prototype : making your own Dashbutton over SIGFOX network with Arduino/Thinxtra Xkit and Trello","https://www.linkedin.com/pulse/first-diy-iot-prototype-making-your-own-dashbutton-over-adrien-sales/","2019-02-21","en","DIY Dash Button sur réseau SIGFOX avec Thinxtra Xkit Arduino déclenchant des tâches Trello de supply chain (livraison bonbonnes de gaz). Zéro smartphone/WiFi — démonstration concrète du concept TaaS (Things as a Service)."
"2019-02-23-geekbeach-svg-badges-ar","Geek@beach: get water quality straight outta svg badges and augment reality with them!","https://www.linkedin.com/pulse/geekbeach-get-water-quality-straight-outta-svg-badges-adrien-sales/","2019-02-23","en","Integrates live Nouméa water quality data as SVG badges via shields.io embedded on beach photos. Demonstrates how dynamic badges augment static images with real-time environmental data."
"2018-12-19-api-fication-s01e04-benefices","API-fication calédonienne, S01E04 : les bénéfices d'une introspection sur son propre Système d'Information","https://www.linkedin.com/pulse/api-fication-cal%C3%A9donienne-s01e04-les-b%C3%A9n%C3%A9fices-dune-sur-adrien-sales/","2018-12-19","fr","Transforme les données publiques d'un site municipal en API exploitable pour la qualité des eaux de baignade de Nouméa. Permet aux développeurs d'intégrer ces données dans des applications innovantes."
"2018-12-10-first-fab-lab","First Fab Lab steps : week[0]","https://www.linkedin.com/pulse/first-fab-lab-steps-week0-adrien-sales/","2018-12-10","en","Documents first steps discovering Arduino and digital fabrication via a local Fab Lab mentor, using Tinkercad's browser-based circuit simulator. Remote learning and experimentation documented on GitHub."
"2018-11-12-referendum-nc-open-data-ml","Référendum Nouvelle-Calédonie 2018 et open-data, que disent les algorithmes prédictifs ?","https://www.linkedin.com/pulse/r%C3%A9f%C3%A9rendum-nouvelle-cal%C3%A9donie-2018-et-open-data-que-disent-sales/","2018-11-12","fr","Analyse des données du référendum 2018 avec Orange (visual programming) pour construire un arbre de décision prédictif. Exploite deux sources open data gouvernementales consolidées en CSV."
"2018-11-04-continuous-delivery-chocolatey","Continuous Delivery for Windows Softwares with Cloud Services","https://www.linkedin.com/pulse/continuous-delivery-windows-softwares-cloud-services-adrien-sales/","2018-11-04","en","Automates Windows software package releases using Chocolatey and AppVeyor, eliminating manual workstation builds. Simple version updates and git tags trigger automated deployment."
"2018-10-13-gdpr-database-elk","From database column to GDPR analytics with ELK: getting the map of your data","https://www.linkedin.com/pulse/from-database-column-gdpr-analytics-elk-getting-map-your-adrien-sales/","2018-10-13","en","Practical GDPR compliance by tagging personal data columns with metadata comments in relational databases, then visualizing with SchemaCrawler and ELK. Generates automated dashboards mapping sensitive data across infrastructure."
"2018-09-23-continuous-db-linting-elk","Continuous Database Linting Dashboards: Bring Analytics by Catching the ELK Wave","https://www.linkedin.com/pulse/continuous-database-linting-dashboards-bring-analytics-adrien-sales/","2018-09-23","en","Uses ELK Stack to create dynamic dashboards for database linting analytics via SchemaCrawler CSV output ingested into Elasticsearch. Enables interactive visualization of database quality metrics over time."
"2018-08-22-neo4j-information-schema","Digging and mining datas structures: extracting INFORMATION_SCHEMA from Neo4J & APOC","https://www.linkedin.com/pulse/digging-mining-datas-structures-extracting-from-neo4j-adrien-sales/","2018-08-22","en","Uses Neo4j APOC to load PostgreSQL metadata into a graph, creating nodes and relationships for schemas, tables and constraints. Visualizes database dependencies with Gephi."
"2018-07-29-unit-test-vs-linting-ci","Unit Test vs. Rules: lints and CI vs. daedalus of laws.","https://www.linkedin.com/pulse/unit-test-vs-rules-lints-ci-daedalus-laws-adrien-sales/","2018-07-29","en","Argues for automating code quality rules through CI linting rather than lengthy conduct documents. Demonstrates CSV validation tests in Maven checking encoding, formatting and structure."
"2018-05-20-blood-rhesus-r-rmarkdown","About blood rhesus compatibility, R, Rmarkdown and publishing","https://www.linkedin.com/pulse/blood-rhesus-compatibility-r-rmarkdown-publishing-adrien-sales/","2018-05-20","en","Demonstrates creating comprehensive reports on blood rhesus compatibility using R and RMarkdown/knitr. Shows blending narrative, executable code and visualizations into shareable documents on RPubs."
"2018-04-26-api-fication-s02e01-mobile","API-fication calédonienne S02E01 : de l'API à l'appli' mobile avec 'mes tickets resto.nc'","https://www.linkedin.com/pulse/api-fication-cal%C3%A9donienne-s02e01-de-lapi-%C3%A0-lappli-mobile-adrien-sales/","2018-04-26","fr","Annonce le lancement de l'application mobile Android/iOS pour les tickets restaurant en NC, suite à la création du SDK et de l'API REST. Trois week-ends de développement lean."
"2018-04-06-api-fication-s01e04-annuaire","API-fication calédonienne, S01E04 : l'annuaire des numéros de mobilis","https://www.linkedin.com/pulse/api-fication-cal%C3%A9donienne-s01e04-lannuaire-des-num%C3%A9ros-adrien-sales/","2018-04-06","fr","API minimaliste pour un annuaire des numéros de mobile en Nouvelle-Calédonie, conçue pour prototyper une app React/React Native. Démontre la rapidité de prototypage avec Spring Boot."
"2018-03-27-cambridge-analytica-neo4j","Cloud authentication providers & Cambridge Analytica: what if I stop using Facebook, answering with Neo4J graphgist","https://www.linkedin.com/pulse/cloud-authentication-providers-cambridge-analytica-what-adrien-sales/","2018-03-27","en","Analyzes with Neo4j which online services depend exclusively on Facebook for authentication, following the #deletefacebook movement. Reveals dependency risks when users abandon a social network."
"2018-03-26-api-fication-s01e03-conso","API-fication calédonienne, S01E03 : optimiser l'utilisation de la carte Conso+","https://www.linkedin.com/pulse/api-fication-cal%C3%A9donienne-s01e03-optimiser-de-la-carte-adrien-sales/","2018-03-26","fr","Solution en scraping Java + API Spring Boot sur Heroku pour mettre à jour automatiquement un Google Spreadsheet avec le solde de la carte Conso+. Consultable sur mobile avant de faire ses courses."
"2018-03-20-shields-io-chocolatey","Who wants some cool smart badges: the art of Shields.io","https://www.linkedin.com/pulse/who-wants-some-cool-smart-badges-art-shieldsio-adrien-sales/","2018-03-20","en","Explores Shields.io for creating dynamic SVG badges displaying project metrics. Integrates with Chocolatey by building a Java SDK and REST API to enable real-time version display."
"2018-03-01-data-storytelling-neo4j-graphgist","Data Story Telling : imaginer, développer et publier","https://www.linkedin.com/pulse/data-story-telling-imaginer-d%C3%A9velopper-et-publier-adrien-sales/","2018-03-01","fr","Explore l'usage des Neo4j GraphGists pour créer des visualisations interactives sur les personnages de 'La Brousse en Folie'. Démontre le workflow complet AsciiDoc + Cypher jusqu'à la publication."
"2018-02-14-sdk-to-api-google-sheets","Du SDK à l'API, ou comment une Google Spreadheet devient application mobile : les tickets restaurants nc au bout des doigts","https://www.linkedin.com/pulse/du-sdk-%C3%A0-lapi-ou-comment-une-google-spreadheet-devient-adrien-sales/","2018-02-14","fr","Transforme un SDK Java pour tickets restaurant NC en API REST sur Heroku, intégrée à Google Sheets pour un reporting mobile accessible. Prototypage cloud-native sans investissement infrastructure."
"2017-12-28-brousse-folie-graph-analysis","Lôôôngin c'est qui qu'est au centre de la BD à nous 'la brousse en folie' ?!","https://www.linkedin.com/pulse/l%C3%B4%C3%B4%C3%B4ngin-cest-qui-quest-au-centre-de-la-bd-%C3%A0-nous-brousse-sales/","2017-12-28","fr","Analyse de la BD calédonienne 'La Brousse en Folie' avec Neo4j pour déterminer le personnage central par betweenness centrality. Révèle Tonton Marcel comme héros principal."
"2017-12-21-deploiement-continu-cloud-hybride","Déploiement continu & cloud hybride : opportunités de transition DevOps","https://www.linkedin.com/pulse/d%C3%A9ploiement-continu-cloud-hybride-opportunit%C3%A9s-de-transition-sales/","2017-12-21","fr","Explore comment les contraintes budgétaires et la dette technique peuvent motiver une transformation DevOps. Propose une approche greedy pour identifier les systèmes coûteux et mesurer les gains financiers."
"2017-12-15-birthday-bot-slack-travis","About birthdays, BOTs, Slack & Travis CI cron Jobs: all for free and fun, it's GIFmas time!","https://www.linkedin.com/pulse/birthdays-bots-slack-travis-ci-cron-jobs-all-free-fun-adrien-sales/","2017-12-15","en","Free automation project sending birthday wishes through Slack using Travis CI cron jobs and Giphy API. No dedicated bot account needed: GitHub CSV + webhook + animated GIFs."
"2017-11-06-cloud-connections-graph","Show me your cloud connections: I'll tell you who you are...and where you can go.","https://www.linkedin.com/pulse/show-me-your-cloud-connections-ill-tell-you-who-areand-adrien-sales/","2017-11-06","en","Maps with Neo4j and Gephi the connections between authentication providers (Google, GitHub, Facebook) and cloud services. Reveals patterns about service openness and dependency relationships."
"2017-09-21-neo4j-cuisine-nicoise-r-ggplot2","Non, le basilic n'est pas au centre de la cuisine niçoise : pérégrinations autour de Neo4j, R et ggplot2","https://www.linkedin.com/pulse/non-le-basilic-nest-pas-au-centre-de-la-cuisine-ni%C3%A7oise-adrien-sales/","2017-09-21","fr","Analyse graph d'un livre de cuisine niçoise avec Neo4j (Cypher), R et ggplot2 pour identifier les ingrédients centraux par les données. Révèle que l'huile d'olive — et non le basilic — est au cœur de la cuisine niçoise."
"2017-08-17-api-scraping-tickets-nc","Chronique d'un utilisateur contrarié... libéré par la création d'une API","https://www.linkedin.com/pulse/chronique-dun-utilisateur-contrari%C3%A9-lib%C3%A9r%C3%A9-par-la-cr%C3%A9ation-sales/","2017-08-17","fr","Crée une API de scraping avec HtmlUnit pour accéder au solde et aux transactions des tickets restaurant NC, absents de l'interface officielle. Démontre comment une API simple libère une valeur significative."
"2017-08-04-izpack-workstation-provisioning","Izpack: a possible path to a better Workstations provisioning","https://www.linkedin.com/pulse/izpack-possible-path-better-workstations-provisioning-adrien-sales/","2017-08-04","en","Explores using Izpack installer framework to streamline workstation provisioning and application shortcuts management. Addresses documenting and enforcing browser-specific constraints for end users in heterogeneous environments."
"2017-07-14-oracle-plsql-slack","Make Oracle 12c chat on slack in pure PL/SQL","https://www.linkedin.com/pulse/make-oracle-12c-chat-slack-pure-plsql-adrien-sales/","2017-07-14","en","Integrates Oracle 12c with Slack using pure PL/SQL via the utl_http package over HTTPS. Eliminates the complexity of embedding Java libraries in Oracle's database."
"2016-07-10-seminaire-dsi-noumea-scrum","Séminaire DSI Ville de Nouméa 2015 : retour d'expérience sur 4 années de développement avec SCRUM","https://www.linkedin.com/pulse/s%C3%A9minaire-dsi-ville-de-noum%C3%A9a-2015-retour-dexp%C3%A9rience-adrien-sales/","2016-07-10","fr","Synthèse de 4 ans d'implémentation de SCRUM à la DSI de la Ville de Nouméa, présentée au séminaire de fin d'année 2015. Couvre succès et échecs sur plusieurs projets."
"2016-06-28-cloud-dev-1-weekend","Développer dans le cloud en 1 WE","https://www.linkedin.com/pulse/d%C3%A9velopper-dans-le-cloud-en-1-we-adrien-sales/","2016-06-28","fr","Retour d'expérience sur une migration cloud réalisée en un week-end sur laptop, démontrant l'applicabilité des bonnes pratiques open source en entreprise. Présentation pédagogique sur les outils cloud pour un public général."
"2016-05-20-managing-db-no-dba","Managing databases with no (or very few) DBA and IT Shintoism","https://www.linkedin.com/pulse/managing-databases-very-few-dba-shintoism-adrien-sales/","2016-05-20","en","DevOps approach to database management with minimal DBA resources, using Liquibase and SchemaCrawler with CI quality testing. Synthèse de plusieurs années d'administration de bases de données en production 24/7."
