id,slug,title,url,video_count
PL7GdrgVAWcDhX2s9FpZrQ1BGcfISGyhbn,drhfpnc,DRHFPNC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhX2s9FpZrQ1BGcfISGyhbn,3
PL7GdrgVAWcDhTeW8rjUCZVp2Mic1fx-j9,geol,geol,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhTeW8rjUCZVp2Mic1fx-j9,13
PL7GdrgVAWcDilX93zMPLiBngsWuwXVloU,miage-2025---prixnc,MIAGE 2025 - Prix.nc,https://www.youtube.com/playlist?list=PL7GdrgVAWcDilX93zMPLiBngsWuwXVloU,16
PL7GdrgVAWcDg_ZMzDxU0g88RjZxvWscGH,it-devops-heroes-mythologies,"😭 IT, DevOPS heroes & Mythologies",https://www.youtube.com/playlist?list=PL7GdrgVAWcDg_ZMzDxU0g88RjZxvWscGH,11
PL7GdrgVAWcDi9ztXcajzH9w9EyQ1ow1Ae,projets-tutores-unc,Projets tutorés UNC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDi9ztXcajzH9w9EyQ1ow1Ae,10
PL7GdrgVAWcDikE5ph_OAUDzLj_xBwT318,duckdb,DuckDb,https://www.youtube.com/playlist?list=PL7GdrgVAWcDikE5ph_OAUDzLj_xBwT318,9
PL7GdrgVAWcDi554J5Zjah7TanMl-OsDnD,dataengineering,DataEngineering,https://www.youtube.com/playlist?list=PL7GdrgVAWcDi554J5Zjah7TanMl-OsDnD,15
PL7GdrgVAWcDhZ4mz3cDefFUZo07PIFxxx,devops,DevOPS,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhZ4mz3cDefFUZo07PIFxxx,7
PL7GdrgVAWcDhg4xbF6svQiJT0QnhglhYU,mobitagnc,Mobitag.nc,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhg4xbF6svQiJT0QnhglhYU,11
PL7GdrgVAWcDjBXyxuv6cXO8ZDSvjb4jRG,nodes24,NODES24,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjBXyxuv6cXO8ZDSvjb4jRG,5
PL7GdrgVAWcDjdPVBScIwsUoMmYLYqC37D,jupyter-ai,Jupyter-AI,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjdPVBScIwsUoMmYLYqC37D,3
PL7GdrgVAWcDhwyRndjMaMW_kYnIBlRIA8,emeutes-nouvelle-caledonie-2024,Emeutes Nouvelle-Calédonie 2024,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhwyRndjMaMW_kYnIBlRIA8,5
PL7GdrgVAWcDhIFzildk8tBoX3xbxPlipq,chat-bots,Chat BOTs,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhIFzildk8tBoX3xbxPlipq,22
PL7GdrgVAWcDiEboq2KkX38zuldzUdSI7r,women-empowerment,Women Empowerment,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiEboq2KkX38zuldzUdSI7r,1
PL7GdrgVAWcDgX6tQ449f1Da4TnjRDcUZ7,eae,EAE,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgX6tQ449f1Da4TnjRDcUZ7,4
PL7GdrgVAWcDgQWAe7oOW-ZZ0NzvSVOJig,it-events-api,IT Events API,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgQWAe7oOW-ZZ0NzvSVOJig,1
PL7GdrgVAWcDg1eZOY72IZ20f4ZbUjOgEQ,huggingface,Huggingface,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg1eZOY72IZ20f4ZbUjOgEQ,13
PL7GdrgVAWcDjFJFZQmlrwHs0gUTst-mC2,smarcities,Smarcities,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjFJFZQmlrwHs0gUTst-mC2,11
PL7GdrgVAWcDh4eM-WS80poMkPgVe6hXnQ,ollama,Ollama,https://www.youtube.com/playlist?list=PL7GdrgVAWcDh4eM-WS80poMkPgVe6hXnQ,13
PL7GdrgVAWcDg0BqabT2DOsmKgWuV0qO6d,smslink,SMSlink,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg0BqabT2DOsmKgWuV0qO6d,3
PL7GdrgVAWcDjxpeDcd31PoVX8-E-JiOX_,inspirationals,Inspirationals,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjxpeDcd31PoVX8-E-JiOX_,1
PL7GdrgVAWcDg-_ywZWbIpjW-2wLJaBg-N,apigee,APIGEE,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg-_ywZWbIpjW-2wLJaBg-N,14
PL7GdrgVAWcDhRbLjxyXV5a0eVxIOGgy4K,nodes23,nodes23,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhRbLjxyXV5a0eVxIOGgy4K,5
PL7GdrgVAWcDiwkhbjizhiRxcb2Cbr3LZI,pacific-dataviz-challenge,Pacific Dataviz Challenge,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiwkhbjizhiRxcb2Cbr3LZI,4
PL7GdrgVAWcDiwmlkmj3FxdOUm8GVzLUtP,ridet-nc,Ridet NC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiwmlkmj3FxdOUm8GVzLUtP,1
PL7GdrgVAWcDihouR9ohOSptVlzYeKsgJh,short-productivity-hacks,🦥 Short productivity hacks,https://www.youtube.com/playlist?list=PL7GdrgVAWcDihouR9ohOSptVlzYeKsgJh,1
PL7GdrgVAWcDiLNjPIENIjScCKYNUpYs3z,unc,UNC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiLNjPIENIjScCKYNUpYs3z,22
PL7GdrgVAWcDihKscRw7cjHHsl32dDN92_,eaux-de-baignade-noumea,Eaux de baignade Nouméa,https://www.youtube.com/playlist?list=PL7GdrgVAWcDihKscRw7cjHHsl32dDN92_,8
PL7GdrgVAWcDjbTW--Cxm2hXeNw75XhEEK,au-ptit-cafe,Au p'tit café,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjbTW--Cxm2hXeNw75XhEEK,15
PL7GdrgVAWcDjfYJmdoK9tUA5LZVmiZQCX,open-innovation,Open Innovation,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjfYJmdoK9tUA5LZVmiZQCX,33
PL7GdrgVAWcDh8JYKJlGKCfdzG-vQMEIiV,digital-identities,Digital Identities,https://www.youtube.com/playlist?list=PL7GdrgVAWcDh8JYKJlGKCfdzG-vQMEIiV,3
PL7GdrgVAWcDgFGpwkKyAuBbJ_bFwLt-SF,teaxyz,tea.xyz,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgFGpwkKyAuBbJ_bFwLt-SF,2
PL7GdrgVAWcDji-gNc60AyxLcWY-3QY99S,duckdb,DuckDb,https://www.youtube.com/playlist?list=PL7GdrgVAWcDji-gNc60AyxLcWY-3QY99S,21
PL7GdrgVAWcDgmemnsJ1AY-7W8pohlrCPB,kaggle,Kaggle,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgmemnsJ1AY-7W8pohlrCPB,43
PL7GdrgVAWcDgbGG_VblEdcaIAcLnRyW9o,chatgpt,ChatGPT,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgbGG_VblEdcaIAcLnRyW9o,1
PL7GdrgVAWcDhZckX9fosTWDqW4R6UdXgX,chatgpt,ChatGPT,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhZckX9fosTWDqW4R6UdXgX,3
PL7GdrgVAWcDj3J5Is-gCw4C3mCXQT9rJP,python,Python,https://www.youtube.com/playlist?list=PL7GdrgVAWcDj3J5Is-gCw4C3mCXQT9rJP,22
PL7GdrgVAWcDiscWL7ZwBy3q-ATPOveHqi,database,Database,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiscWL7ZwBy3q-ATPOveHqi,13
PL7GdrgVAWcDgtMSWCAq1kDACKhWp1Scin,apis,APIs,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgtMSWCAq1kDACKhWp1Scin,28
PL7GdrgVAWcDiY2DFlbEaGsIqu0xcOSQk_,st-valentin-2023,💘  St Valentin 2023,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiY2DFlbEaGsIqu0xcOSQk_,8
PL7GdrgVAWcDirnxcmXOAMQ_1QZjDOGpYL,unboxings,Unboxings,https://www.youtube.com/playlist?list=PL7GdrgVAWcDirnxcmXOAMQ_1QZjDOGpYL,48
PL7GdrgVAWcDiDyuRlrzCK3R21VDFgZJI1,iot,IoT,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiDyuRlrzCK3R21VDFgZJI1,17
PL7GdrgVAWcDg0l03kwbcVxjXePPjplUtP,vhs-tapes,VHS Tapes,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg0l03kwbcVxjXePPjplUtP,1
PL7GdrgVAWcDjSl0WQI_J9DrjUfchJZD1t,endoflifedate,endoflife.date,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjSl0WQI_J9DrjUfchJZD1t,25
PL7GdrgVAWcDilGJGeNuVdvCM-lSmt5DNT,domainenc-mobile,DOMAINE.nc Mobile,https://www.youtube.com/playlist?list=PL7GdrgVAWcDilGJGeNuVdvCM-lSmt5DNT,5
PL7GdrgVAWcDiVGZTlAm18DOQRX_BmQG9r,documentation,Documentation,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiVGZTlAm18DOQRX_BmQG9r,1
PL7GdrgVAWcDjQ5_ngsJDYVYj-ocEeDX8N,quarkus,Quarkus,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjQ5_ngsJDYVYj-ocEeDX8N,3
PL7GdrgVAWcDjv48BfpRpCBeODx1_gp2Pd,flutter,Flutter,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjv48BfpRpCBeODx1_gp2Pd,4
PL7GdrgVAWcDj6za_4jC9tl6v1Q9plhNww,phonenumber-validator,Phonenumber Validator,https://www.youtube.com/playlist?list=PL7GdrgVAWcDj6za_4jC9tl6v1Q9plhNww,4
PL7GdrgVAWcDiNiMIV0JCJz4yAn9dTBQfj,datascience,Datascience,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiNiMIV0JCJz4yAn9dTBQfj,43
PL7GdrgVAWcDi3JpgWHL7If07uRKHiKFA3,google-shorts,Google Shorts,https://www.youtube.com/playlist?list=PL7GdrgVAWcDi3JpgWHL7If07uRKHiKFA3,6
PL7GdrgVAWcDjvaSZBq41B-TZV3TZYjB9H,grype,Grype,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjvaSZBq41B-TZV3TZYjB9H,5
PL7GdrgVAWcDhiZRfH5LSYW8qAoZUgorWl,opt-sms,OPT-SMS,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhiZRfH5LSYW8qAoZUgorWl,5
PL7GdrgVAWcDiFhTOnJ_U8wUzgDXKanXsF,public-docker-images,Public Docker images,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiFhTOnJ_U8wUzgDXKanXsF,8
PL7GdrgVAWcDiK1jK6haF5ewhpAgjiafR8,carto-neo4j,Carto Neo4J,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiK1jK6haF5ewhpAgjiafR8,16
PL7GdrgVAWcDh6oS_VL7kJMx4h2h55nzvp,productivity,Productivity,https://www.youtube.com/playlist?list=PL7GdrgVAWcDh6oS_VL7kJMx4h2h55nzvp,50
PL7GdrgVAWcDirI0UaS9STmnY_DmZwRo_I,security,Security,https://www.youtube.com/playlist?list=PL7GdrgVAWcDirI0UaS9STmnY_DmZwRo_I,23
PL7GdrgVAWcDg3E8d5Jos2Wuuati97BeL-,devops-labs,DEVOPS-LABS,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg3E8d5Jos2Wuuati97BeL-,9
PL7GdrgVAWcDhGFjuyvjs0qmqFnIK_maMP,iot,IoT,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhGFjuyvjs0qmqFnIK_maMP,12
PL7GdrgVAWcDj51Cwc0cAqztShJjce6aSW,power-bi,Power BI,https://www.youtube.com/playlist?list=PL7GdrgVAWcDj51Cwc0cAqztShJjce6aSW,1
PL7GdrgVAWcDgu-OXRlAxwFTw-WN4dHePR,emploi-nc,Emploi NC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgu-OXRlAxwFTw-WN4dHePR,15
PL7GdrgVAWcDhB4o0-c9gyop_k2qmEBnOy,games,Games,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhB4o0-c9gyop_k2qmEBnOy,1
PL7GdrgVAWcDhM_vG9HmfCM1FrQArS6xzh,elk,ELK,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhM_vG9HmfCM1FrQArS6xzh,1
PL7GdrgVAWcDjjOeJQq3U39F6r-3TFOg17,augmented-reality,Augmented Reality,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjjOeJQq3U39F6r-3TFOg17,1
PL7GdrgVAWcDhxwg0NoxP3B1vz53uiCSf7,bots,BOTs,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhxwg0NoxP3B1vz53uiCSf7,11
PL7GdrgVAWcDhfbq4U-rh0f0pbhWwvJ0ou,ai,AI,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhfbq4U-rh0f0pbhWwvJ0ou,53
PL7GdrgVAWcDjRyCWzfueG9GZqe9M2Lqxe,colis-nc,Colis NC,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjRyCWzfueG9GZqe9M2Lqxe,9
PL7GdrgVAWcDjaWl3HuIKrR6h-dn-xOh0J,schemacrawler,Schemacrawler,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjaWl3HuIKrR6h-dn-xOh0J,1
PL7GdrgVAWcDjSwRyVgK_or9LChQgrdebv,neo4j,Neo4J,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjSwRyVgK_or9LChQgrdebv,31
PL7GdrgVAWcDgq8B_A-hJL8zbGe4eUI0EZ,dataviz,Dataviz,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgq8B_A-hJL8zbGe4eUI0EZ,78
PL7GdrgVAWcDj8vG4YqrgoKpR9rXlcQabV,digital-art,Digital Art,https://www.youtube.com/playlist?list=PL7GdrgVAWcDj8vG4YqrgoKpR9rXlcQabV,26
PL7GdrgVAWcDgN1QV5tbPRCa1f5Q83yRMi,temps-dattente-en-agences,Temps d'attente en agences,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgN1QV5tbPRCa1f5Q83yRMi,20
PL7GdrgVAWcDhucdlzewW7gVo0xG0Bv1zK,innovation,Innovation,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhucdlzewW7gVo0xG0Bv1zK,63
PL7GdrgVAWcDixwOMXcIeAdcOdTxJkOeXO,docker,Docker,https://www.youtube.com/playlist?list=PL7GdrgVAWcDixwOMXcIeAdcOdTxJkOeXO,10
PL7GdrgVAWcDhdtU0TW1WiLH1uUyPYH93c,rapidapi-marketplace,RapidAPI Marketplace,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhdtU0TW1WiLH1uUyPYH93c,20
PL7GdrgVAWcDhAcQPTS36Ce-mOQ3KkDmt-,grype,Grype,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhAcQPTS36Ce-mOQ3KkDmt-,8
PL7GdrgVAWcDgnslVa345j1xpjFJx9IvrE,github-cli,Github CLI,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgnslVa345j1xpjFJx9IvrE,6
PL7GdrgVAWcDiALHY3l-3GYoZ6BUYi0eOn,native,Native,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiALHY3l-3GYoZ6BUYi0eOn,3
PL7GdrgVAWcDhigJGOLSo87BC0yI2s9SGi,partenaires-mobilis,Partenaires Mobilis,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhigJGOLSo87BC0yI2s9SGi,10
PL7GdrgVAWcDiZzqTE3ZMFB_ysbrMjon-Z,security,Security,https://www.youtube.com/playlist?list=PL7GdrgVAWcDiZzqTE3ZMFB_ysbrMjon-Z,22
PL7GdrgVAWcDgTfeJKnrK2MyeKCxJWNs03,domainenc,DOMAINE.nc,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgTfeJKnrK2MyeKCxJWNs03,21
PL7GdrgVAWcDjeykBrFEA97_MYlMKsJfiU,demos-pocs,Démos POCs,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjeykBrFEA97_MYlMKsJfiU,4
PL7GdrgVAWcDhZD-uSFfGI9UcBontiF9i5,vm-ware-tanzu,VM Ware Tanzu,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhZD-uSFfGI9UcBontiF9i5,1
PL7GdrgVAWcDhumoH9TaBHVF8SwQ1KCkBu,yamlfixer,Yamlfixer,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhumoH9TaBHVF8SwQ1KCkBu,2
PL7GdrgVAWcDjRjWzsSsay5MJsrw_zk-1U,github,Github,https://www.youtube.com/playlist?list=PL7GdrgVAWcDjRjWzsSsay5MJsrw_zk-1U,37
PL7GdrgVAWcDj4dO9X9S8cjVoa1pdxF9Ev,spring,Spring,https://www.youtube.com/playlist?list=PL7GdrgVAWcDj4dO9X9S8cjVoa1pdxF9Ev,5
PL7GdrgVAWcDg-4Q9Xf-K5WWwZXbRhws9t,k8s,K8S,https://www.youtube.com/playlist?list=PL7GdrgVAWcDg-4Q9Xf-K5WWwZXbRhws9t,6
PL7GdrgVAWcDgCWtilC7t2Rn6bLup_miSi,ci,CI,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgCWtilC7t2Rn6bLup_miSi,19
PL7GdrgVAWcDgD7V2mvGR4vO8UUYZAnBjY,open-data,Open Data,https://www.youtube.com/playlist?list=PL7GdrgVAWcDgD7V2mvGR4vO8UUYZAnBjY,78
PL7GdrgVAWcDhRnLXbwN70SXQgGlqP2OOL,java,Java,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhRnLXbwN70SXQgGlqP2OOL,13
PL7GdrgVAWcDh0bF4eyvNh7mKR-G1Vtpk5,postgresql,PostgreSQL,https://www.youtube.com/playlist?list=PL7GdrgVAWcDh0bF4eyvNh7mKR-G1Vtpk5,6
PL7GdrgVAWcDhdVH6O4kr4mwYOXLYzyxKm,kafka,Kafka,https://www.youtube.com/playlist?list=PL7GdrgVAWcDhdVH6O4kr4mwYOXLYzyxKm,6
